<font color="#000000">@@@@@@</font><font color="#3f250f">%</font><font color="#8d5916">*</font><font color="#8a580e">*</font><font color="#93610c">*</font><font color="#94650b">*</font><font color="#9b660d">*</font><font color="#9c670d">*</font><font color="#9e690d">*</font><font color="#9e6a0f">*</font><font color="#9e6b0f">*</font><font color="#a16b0f">*</font><font color="#a26d10">*</font><font color="#a26e0f">**</font><font color="#a27113">*</font><font color="#a4873a">+</font><font color="#b59a6b">=</font><font color="#aa624f">+</font><font color="#ac5053">+</font><font color="#be8d91">-</font><font color="#bca9a0">-</font><font color="#ae9e8f">-</font><font color="#a39079">=</font><font color="#958069">+</font><font color="#907d63">+</font><font color="#a1947b">=</font><font color="#ada389">-</font><font color="#8b8857">+</font><font color="#7b7f3e">+</font><font color="#7c7c39">*</font><font color="#7c7530">*</font><font color="#79722e">*</font><font color="#707534">*</font><font color="#6b7435">*</font><font color="#657334">*</font><font color="#616f33">*</font><font color="#6e6825">*</font><font color="#43300d">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#3d1c16">%</font><font color="#8c412b">*</font><font color="#863d28">*</font><font color="#8f4525">*</font><font color="#92511d">*</font><font color="#995d0f">*</font><font color="#9c6409">*</font><font color="#9c6708">*</font><font color="#9d6707">*</font><font color="#9d6808">*</font><font color="#a06a08">*</font><font color="#a26b09">*</font><font color="#a26e0b">*</font><font color="#a07d22">+</font><font color="#a1872e">+</font><font color="#a28d3f">+</font><font color="#947b4a">+</font><font color="#7a4f31">*</font><font color="#a98574">=</font><font color="#b7a08d">-</font><font color="#a48a72">=</font><font color="#a0846d">=</font><font color="#9f816b">=</font><font color="#9a7c64">+</font><font color="#937760">+</font><font color="#97836b">=</font><font color="#a79e82">=</font><font color="#a6925f">=</font><font color="#936a1a">*</font><font color="#91640e">*</font><font color="#93610a">*</font><font color="#8b620e">*</font><font color="#776f26">*</font><font color="#6c7330">*</font><font color="#65732f">*</font><font color="#61702f">*</font><font color="#686f29">*</font><font color="#413813">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#41290e">%</font><font color="#95600f">*</font><font color="#8e5512">*</font><font color="#93501f">*</font><font color="#914729">*</font><font color="#93422e">*</font><font color="#954a23">*</font><font color="#9b5c11">*</font><font color="#9d6807">*</font><font color="#9e6907">*</font><font color="#9f6a08">*</font><font color="#a06b0a">*</font><font color="#a06f0c">*</font><font color="#a07718">*</font><font color="#a07616">*</font><font color="#9d7625">+</font><font color="#785d29">*</font><font color="#806948">*</font><font color="#ae9e81">-</font><font color="#ab9378">=</font><font color="#9d7d65">+</font><font color="#9e7d67">=</font><font color="#9e7f6a">=</font><font color="#9a7b67">+</font><font color="#8f6e58">+</font><font color="#7e6249">*</font><font color="#847658">+</font><font color="#a28958">=</font><font color="#9b6916">*</font><font color="#976006">*</font><font color="#966109">*</font><font color="#90620b">*</font><font color="#7c6e22">*</font><font color="#6e7431">*</font><font color="#68742f">*</font><font color="#66712e">*</font><font color="#66732c">*</font><font color="#3b3d17">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#422c0d">%</font><font color="#99690b">*</font><font color="#926108">*</font><font color="#966307">*</font><font color="#996309">*</font><font color="#9b5d14">*</font><font color="#9a4d25">*</font><font color="#98432d">*</font><font color="#9a511e">*</font><font color="#a0670e">*</font><font color="#a36c09">*</font><font color="#a46d0a">*</font><font color="#a36e0a">*</font><font color="#a56f09">*</font><font color="#a66f0d">*</font><font color="#997125">*</font><font color="#6d5120">#</font><font color="#8a6e4b">+</font><font color="#b09679">=</font><font color="#96765a">+</font><font color="#8b664d">+</font><font color="#916d54">+</font><font color="#97755b">+</font><font color="#8d6c56">+</font><font color="#86654f">+</font><font color="#7b5f45">*</font><font color="#796446">*</font><font color="#8d6f3c">+</font><font color="#996a15">*</font><font color="#9a6406">*</font><font color="#976107">*</font><font color="#946107">*</font><font color="#816b1c">*</font><font color="#717630">*</font><font color="#6a752f">*</font><font color="#69732d">*</font><font color="#67762c">*</font><font color="#3d4018">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#422d0e">%</font><font color="#9d690c">*</font><font color="#936108">*</font><font color="#996308">*</font><font color="#9c6808">*</font><font color="#a06a08">*</font><font color="#a16a0a">*</font><font color="#a35e1a">*</font><font color="#9b472c">*</font><font color="#9a4c22">*</font><font color="#a36710">*</font><font color="#a66f0c">*</font><font color="#a66e0a">*</font><font color="#a8700a">*</font><font color="#aa761a">+</font><font color="#a07a3d">+</font><font color="#63461e">#</font><font color="#98775d">+</font><font color="#b38f79">=</font><font color="#946c52">+</font><font color="#8d6349">+</font><font color="#956c51">+</font><font color="#926b50">+</font><font color="#7f5842">*</font><font color="#7b563e">*</font><font color="#775d41">*</font><font color="#867154">+</font><font color="#987542">+</font><font color="#a06f1a">*</font><font color="#9d6606">*</font><font color="#986205">*</font><font color="#976005">*</font><font color="#876816">*</font><font color="#73762f">*</font><font color="#6d7630">*</font><font color="#6a752f">*</font><font color="#6d762c">*</font><font color="#433e16">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#432f0e">%</font><font color="#9f6b0a">*</font><font color="#976406">*</font><font color="#9e6807">*</font><font color="#9f6908">*</font><font color="#a16a08">*</font><font color="#a26b09">*</font><font color="#a56d09">*</font><font color="#a86615">*</font><font color="#9f4b28">*</font><font color="#a04e21">*</font><font color="#a96b12">*</font><font color="#aa710b">*</font><font color="#ab750f">*</font><font color="#b18b3f">+</font><font color="#917547">+</font><font color="#5c411c">#</font><font color="#967257">+</font><font color="#ab7f66">=</font><font color="#a07157">+</font><font color="#a17459">+</font><font color="#9a6e53">+</font><font color="#92664b">+</font><font color="#946750">+</font><font color="#91624d">+</font><font color="#926b55">+</font><font color="#9b7b60">+</font><font color="#986f37">+</font><font color="#a67620">+</font><font color="#9f6707">*</font><font color="#9c6607">*</font><font color="#9a6207">*</font><font color="#8f6613">*</font><font color="#78772e">*</font><font color="#72782e">*</font><font color="#777023">*</font><font color="#866712">*</font><font color="#513409">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#442316">%</font><font color="#9d4e23">*</font><font color="#975017">*</font><font color="#9f5f0f">*</font><font color="#a3690c">*</font><font color="#a46c09">*</font><font color="#a66d09">*</font><font color="#a66e09">*</font><font color="#a87008">*</font><font color="#a96616">*</font><font color="#a14826">*</font><font color="#a7591b">*</font><font color="#b07311">+</font><font color="#b07d20">+</font><font color="#957636">+</font><font color="#684e21">#</font><font color="#5a3c18">#</font><font color="#694425">#</font><font color="#9d6e4d">+</font><font color="#936143">+</font><font color="#8a553c">*</font><font color="#88543d">*</font><font color="#814d39">*</font><font color="#7a4639">*</font><font color="#78443d">*</font><font color="#825d59">+</font><font color="#987969">+</font><font color="#a47a43">+</font><font color="#a7731d">+</font><font color="#a16908">*</font><font color="#9f6706">*</font><font color="#9e6607">*</font><font color="#95660e">*</font><font color="#856f1f">*</font><font color="#8a6814">*</font><font color="#91600a">*</font><font color="#975e07">*</font><font color="#553409">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#4b2814">%</font><font color="#a5591e">*</font><font color="#9b4622">*</font><font color="#9c3f27">*</font><font color="#a04d1e">*</font><font color="#a86612">*</font><font color="#a76e0b">*</font><font color="#a66e08">*</font><font color="#a76f08">*</font><font color="#ad720b">*</font><font color="#a95a21">*</font><font color="#a14a23">*</font><font color="#af6e18">+</font><font color="#a87721">+</font><font color="#7a5c20">*</font><font color="#6d5128">#</font><font color="#533416">#</font><font color="#553215">#</font><font color="#88603e">*</font><font color="#996d4a">+</font><font color="#966348">+</font><font color="#8f5946">*</font><font color="#7f594f">*</font><font color="#746e74">+</font><font color="#727d88">+</font><font color="#808085">=</font><font color="#8f7b76">=</font><font color="#98755f">+</font><font color="#a07240">+</font><font color="#a36f24">+</font><font color="#a06a0d">*</font><font color="#9e6606">*</font><font color="#9c6406">*</font><font color="#986206">*</font><font color="#996006">*</font><font color="#985f08">*</font><font color="#996109">*</font><font color="#563508">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#4a2814">%</font><font color="#a45b18">*</font><font color="#9e5c0e">*</font><font color="#a75c17">*</font><font color="#a04322">*</font><font color="#a14b1f">*</font><font color="#aa6a12">*</font><font color="#a96f0a">*</font><font color="#aa7209">*</font><font color="#ad750a">*</font><font color="#b06a17">*</font><font color="#a24923">*</font><font color="#aa631b">*</font><font color="#a97929">+</font><font color="#826429">*</font><font color="#654a22">#</font><font color="#604120">#</font><font color="#5e3d1d">#</font><font color="#7e5e3c">*</font><font color="#967550">+</font><font color="#946d50">+</font><font color="#947a6c">+</font><font color="#919b9b">=</font><font color="#8ba5b0">-</font><font color="#919fa7">-</font><font color="#959395">=</font><font color="#947f75">=</font><font color="#906f5b">+</font><font color="#946b51">+</font><font color="#996d45">+</font><font color="#9e7130">+</font><font color="#a46f18">*</font><font color="#a06608">*</font><font color="#9c6304">*</font><font color="#9a6105">*</font><font color="#986005">*</font><font color="#9c6109">*</font><font color="#583408">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#4a2418">%</font><font color="#a94a28">*</font><font color="#9a3b21">*</font><font color="#a55516">*</font><font color="#ab5c1b">*</font><font color="#9e3f1e">*</font><font color="#a75d16">*</font><font color="#ac710c">*</font><font color="#ab7309">*</font><font color="#ac7409">*</font><font color="#b16f13">*</font><font color="#a64b20">*</font><font color="#ab6122">*</font><font color="#b4873d">+</font><font color="#8a6c33">*</font><font color="#674a21">#</font><font color="#5f401a">#</font><font color="#725933">*</font><font color="#8e7d57">+</font><font color="#97815a">+</font><font color="#765b3a">*</font><font color="#8f7e6b">+</font><font color="#a39b8f">-</font><font color="#95958d">=</font><font color="#8b9597">=</font><font color="#82969c">=</font><font color="#838986">=</font><font color="#8a796a">+</font><font color="#8e6f5c">+</font><font color="#95725d">+</font><font color="#998571">=</font><font color="#9f957d">=</font><font color="#a5926f">=</font><font color="#a47c3a">+</font><font color="#996407">*</font><font color="#986003">*</font><font color="#9e6309">*</font><font color="#5b360a">#</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#4e3112">%</font><font color="#af6c15">*</font><font color="#9e421c">*</font><font color="#9f441a">*</font><font color="#ae5e20">*</font><font color="#9f3f1e">*</font><font color="#a85817">*</font><font color="#ad700d">*</font><font color="#ad730a">*</font><font color="#ad7609">*</font><font color="#b26d16">+</font><font color="#a4481f">*</font><font color="#b46d37">+</font><font color="#b18d51">=</font><font color="#937740">+</font><font color="#775a28">*</font><font color="#68552c">*</font><font color="#556148">*</font><font color="#758574">+</font><font color="#bab79f">-</font><font color="#a08768">=</font><font color="#8c6e4f">+</font><font color="#827261">+</font><font color="#748682">+</font><font color="#7b9294">=</font><font color="#7c8f8d">=</font><font color="#7f827a">+</font><font color="#887565">+</font><font color="#906f5d">+</font><font color="#97715a">+</font><font color="#9c7963">+</font><font color="#9c8374">=</font><font color="#969087">=</font><font color="#a09782">=</font><font color="#a48143">+</font><font color="#9c6813">*</font><font color="#9f640a">*</font><font color="#5c3809">#</font><font color="#000000">@@@@@@</font>
