<font color="#000000">@@@@@@</font><font color="#41270c">%</font><font color="#8f570d">*</font><font color="#835007">#</font><font color="#895711">*</font><font color="#7f6020">*</font><font color="#785e1e">*</font><font color="#865911">*</font><font color="#90570b">*</font><font color="#965609">*</font><font color="#96590b">*</font><font color="#98590c">*</font><font color="#995a0b">*</font><font color="#9b5c0a">*</font><font color="#9c5c0b">*</font><font color="#9d5e0b">*</font><font color="#9e5d0b">***</font><font color="#a25f0e">*</font><font color="#a96d1d">*</font><font color="#956618">*</font><font color="#935e10">*</font><font color="#985b0a">*</font><font color="#9b5b09">*</font><font color="#985a07">*</font><font color="#975909">*</font><font color="#965809">*</font><font color="#96590b">*</font><font color="#996218">*</font><font color="#836a2c">*</font><font color="#726b34">*</font><font color="#6b632a">*</font><font color="#745718">#</font><font color="#7f530e">#</font><font color="#82520c">#</font><font color="#7e5512">#</font><font color="#785511">#</font><font color="#432d08">%</font><font color="#000001">@</font><font color="#000000">@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#3c270f">%</font><font color="#835d17">*</font><font color="#705b1b">#</font><font color="#706025">*</font><font color="#70662a">*</font><font color="#6e662a">*</font><font color="#726523">*</font><font color="#78621e">*</font><font color="#7e5d16">*</font><font color="#8b580d">*</font><font color="#93580c">*</font><font color="#95580c">*</font><font color="#965a0b">*</font><font color="#975a09">*</font><font color="#995a09">*</font><font color="#9c5d0a">**</font><font color="#9c5d09">*</font><font color="#a36411">*</font><font color="#a26e20">*</font><font color="#926619">*</font><font color="#966619">*</font><font color="#976516">*</font><font color="#935e10">*</font><font color="#935a0b">*</font><font color="#945809">*</font><font color="#935809">*</font><font color="#93580a">*</font><font color="#946116">*</font><font color="#80672a">*</font><font color="#6f6830">*</font><font color="#6b6931">*</font><font color="#6f6a32">*</font><font color="#6e652f">*</font><font color="#685f2b">*</font><font color="#62612c">*</font><font color="#605f23">#</font><font color="#37310f">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#3d2710">%</font><font color="#885c15">*</font><font color="#755b1b">*</font><font color="#6f6327">*</font><font color="#6a682b">*</font><font color="#6a692c">*</font><font color="#6b682b">*</font><font color="#6f6323">*</font><font color="#805c16">*</font><font color="#8f590c">*</font><font color="#92590b">*</font><font color="#935a0a">*</font><font color="#955c09">*</font><font color="#975c09">*</font><font color="#9a5c08">*</font><font color="#9c5d09">*</font><font color="#9d5e0a">*</font><font color="#9f5f0b">*</font><font color="#a56511">*</font><font color="#a56d1e">*</font><font color="#9e6f24">*</font><font color="#966920">*</font><font color="#996b1e">*</font><font color="#977023">*</font><font color="#895f13">*</font><font color="#8f5a0d">*</font><font color="#91580a">*</font><font color="#95580a">*</font><font color="#956117">*</font><font color="#7d6728">*</font><font color="#858046">+</font><font color="#a2a070">=</font><font color="#989578">=</font><font color="#7d7c66">+</font><font color="#777860">+</font><font color="#666749">*</font><font color="#626333">*</font><font color="#383616">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#493a2e">#</font><font color="#a3855e">=</font><font color="#816742">*</font><font color="#756236">*</font><font color="#6d6730">*</font><font color="#6e6a2d">*</font><font color="#6e6529">*</font><font color="#7a5e16">*</font><font color="#8d5a0e">*</font><font color="#91560a">*</font><font color="#8d5009">#</font><font color="#904c12">*</font><font color="#934c17">*</font><font color="#974e1c">*</font><font color="#9b5220">*</font><font color="#a0571e">*</font><font color="#a05b15">*</font><font color="#8e510b">*</font><font color="#7d5016">#</font><font color="#785830">*</font><font color="#76593b">*</font><font color="#805a37">*</font><font color="#9c6a2e">+</font><font color="#986a25">*</font><font color="#8e5f15">*</font><font color="#935b0d">*</font><font color="#945909">*</font><font color="#965a09">*</font><font color="#956115">*</font><font color="#977c3a">+</font><font color="#a49c69">=</font><font color="#9b977d">=</font><font color="#948f87">=</font><font color="#948d8c">=</font><font color="#8f8986">=</font><font color="#737066">+</font><font color="#635e42">*</font><font color="#3d3622">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#43342d">#</font><font color="#a0836b">=</font><font color="#8e755f">+</font><font color="#856d53">+</font><font color="#7a5b31">*</font><font color="#845e22">*</font><font color="#83611f">*</font><font color="#835d16">*</font><font color="#8f5a0f">*</font><font color="#92580a">*</font><font color="#92540c">*</font><font color="#975414">*</font><font color="#9a5514">*</font><font color="#9a5311">*</font><font color="#985014">*</font><font color="#9a501d">*</font><font color="#88471e">*</font><font color="#542a0a">%</font><font color="#3c2007">%</font><font color="#391f0e">%</font><font color="#3f2819">%</font><font color="#634837">#</font><font color="#8a6647">+</font><font color="#8f6027">*</font><font color="#985e13">*</font><font color="#995c0a">*</font><font color="#995a09">*</font><font color="#985a0a">*</font><font color="#94590a">*</font><font color="#ac792e">+</font><font color="#9e834f">+</font><font color="#8e7f64">+</font><font color="#8e8579">=</font><font color="#857d75">+</font><font color="#7e746a">+</font><font color="#796a5d">+</font><font color="#8a7560">+</font><font color="#4f4234">#</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#402e29">%</font><font color="#8c624d">+</font><font color="#7a533d">*</font><font color="#85664d">+</font><font color="#815f3a">*</font><font color="#8b571c">*</font><font color="#94590f">*</font><font color="#955a0b">*</font><font color="#975b0b">*</font><font color="#9a5c0c">*</font><font color="#9d5e0b">*</font><font color="#9d5f09">*</font><font color="#9f5f07">*</font><font color="#a15f06">*</font><font color="#a56207">*</font><font color="#935303">*</font><font color="#663506">#</font><font color="#603a14">#</font><font color="#5c371c">#</font><font color="#653e24">#</font><font color="#61381e">#</font><font color="#5f3820">#</font><font color="#6a452c">#</font><font color="#936033">*</font><font color="#9f5d16">*</font><font color="#a05d08">*</font><font color="#9e5e05">*</font><font color="#9d5d09">*</font><font color="#9e5d09">*</font><font color="#b37729">+</font><font color="#9d7439">+</font><font color="#8c6c44">+</font><font color="#7c654a">*</font><font color="#796651">*</font><font color="#8b7966">+</font><font color="#7d6a58">+</font><font color="#785e48">*</font><font color="#423024">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#452e2b">#</font><font color="#925f4e">+</font><font color="#794e3a">*</font><font color="#825b42">*</font><font color="#865a35">*</font><font color="#91581b">*</font><font color="#985b10">*</font><font color="#9c5c0c">*</font><font color="#9c5d0b">*</font><font color="#9e5f0b">*</font><font color="#a06009">*</font><font color="#a86a11">*</font><font color="#b1761d">+</font><font color="#ae771e">+</font><font color="#a76d18">*</font><font color="#8d5208">*</font><font color="#7e4b14">#</font><font color="#906432">*</font><font color="#805229">*</font><font color="#804e28">*</font><font color="#895631">*</font><font color="#85532f">*</font><font color="#673d1d">#</font><font color="#946238">*</font><font color="#945f2b">*</font><font color="#8d602d">*</font><font color="#8d612c">*</font><font color="#986018">*</font><font color="#9e5f0f">*</font><font color="#a56716">*</font><font color="#a67026">+</font><font color="#926631">*</font><font color="#7b5934">*</font><font color="#8a674b">+</font><font color="#a0856f">=</font><font color="#8c7e6e">+</font><font color="#726150">*</font><font color="#33271d">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#432a28">%</font><font color="#915e4b">+</font><font color="#80553e">*</font><font color="#875439">*</font><font color="#915626">*</font><font color="#955811">*</font><font color="#995c0a">*</font><font color="#9c5d0a">*</font><font color="#9d5e0b">*</font><font color="#9b610c">*</font><font color="#b47e2a">+</font><font color="#c8a056">=</font><font color="#c6b06f">-</font><font color="#c2b176">-</font><font color="#b5a569">=</font><font color="#91773a">+</font><font color="#6d450d">#</font><font color="#7c4f1d">*</font><font color="#78491e">#</font><font color="#754420">#</font><font color="#804b2f">*</font><font color="#784527">#</font><font color="#86532f">*</font><font color="#8d613d">*</font><font color="#876345">*</font><font color="#926132">*</font><font color="#996122">*</font><font color="#9f5f0e">*</font><font color="#9e5c09">*</font><font color="#a3610d">*</font><font color="#8f5b12">*</font><font color="#7c5328">*</font><font color="#754f31">*</font><font color="#82573c">*</font><font color="#98745b">+</font><font color="#856f5b">+</font><font color="#6c5945">*</font><font color="#31241a">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#3a2822">%</font><font color="#8b6048">*</font><font color="#7c5538">*</font><font color="#85542a">*</font><font color="#935916">*</font><font color="#9a5a0a">*</font><font color="#9c5d0a">*</font><font color="#9d5e0b">*</font><font color="#975c09">*</font><font color="#885c0d">*</font><font color="#a7833f">+</font><font color="#ab9661">=</font><font color="#948c58">+</font><font color="#a99662">=</font><font color="#c1ad76">-</font><font color="#a99860">=</font><font color="#917237">+</font><font color="#9a6d30">+</font><font color="#8d5c27">*</font><font color="#814e21">*</font><font color="#76431d">#</font><font color="#9f6539">+</font><font color="#c38947">=</font><font color="#9a753b">+</font><font color="#846c4d">+</font><font color="#866541">*</font><font color="#8c6235">*</font><font color="#966224">*</font><font color="#a1651a">*</font><font color="#9e6417">*</font><font color="#7f5016">#</font><font color="#774d24">*</font><font color="#653612">#</font><font color="#693918">#</font><font color="#714529">#</font><font color="#6b422b">#</font><font color="#623b24">#</font><font color="#2f180c">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#3b2d25">%</font><font color="#8c654b">+</font><font color="#8b6645">+</font><font color="#9f774d">+</font><font color="#915f29">*</font><font color="#985c17">*</font><font color="#9c5c0c">*</font><font color="#9e5e0a">*</font><font color="#8f5203">#</font><font color="#945113">*</font><font color="#a6642e">+</font><font color="#966b32">*</font><font color="#7a531e">*</font><font color="#af6e48">+</font><font color="#b18057">=</font><font color="#977d47">+</font><font color="#95763f">+</font><font color="#a77d4a">+</font><font color="#9f7345">+</font><font color="#885c29">*</font><font color="#9e6029">*</font><font color="#b56e2e">+</font><font color="#824e17">*</font><font color="#705e45">*</font><font color="#6e768e">+</font><font color="#5c6b90">+</font><font color="#636177">+</font><font color="#7b6766">+</font><font color="#8f765d">+</font><font color="#766951">*</font><font color="#6f5b45">*</font><font color="#825d35">*</font><font color="#713c0d">#</font><font color="#6b3613">#</font><font color="#855132">*</font><font color="#6e4122">#</font><font color="#5b3318">#</font><font color="#2c160c">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#3e2e24">%</font><font color="#956e51">+</font><font color="#9e7d5d">+</font><font color="#ab9279">=</font><font color="#888174">+</font><font color="#7d8577">+</font><font color="#7b795b">+</font><font color="#84642d">*</font><font color="#894f0b">#</font><font color="#a2521b">*</font><font color="#ab581e">*</font><font color="#914b08">#</font><font color="#9a4d1a">*</font><font color="#a0532c">*</font><font color="#844e20">*</font><font color="#845726">*</font><font color="#986b3b">+</font><font color="#9e7b43">+</font><font color="#8d7532">+</font><font color="#8d6c29">*</font><font color="#c49758">=</font><font color="#ac8857">=</font><font color="#574939">#</font><font color="#4b506f">*</font><font color="#47568f">*</font><font color="#4a609d">+</font><font color="#727ba3">=</font><font color="#7c6b71">+</font><font color="#603d3f">#</font><font color="#5f3a4f">*</font><font color="#7a4e61">*</font><font color="#a5666a">+</font><font color="#ac5f59">+</font><font color="#a25353">+</font><font color="#9c6057">+</font><font color="#7e5734">*</font><font color="#7a5523">*</font><font color="#3d2a0e">%</font><font color="#000000">@@@@@@</font>
<font color="#000000">@@@@@@</font><font color="#3d3531">#</font><font color="#a18f7d">=</font><font color="#948470">=</font><font color="#696658">*</font><font color="#4c6865">*</font><font color="#3f6e74">*</font><font color="#44787d">+</font><font color="#5a7a68">+</font><font color="#725927">*</font><font color="#934e1a">*</font><font color="#ae5a24">*</font><font color="#a4550f">*</font><font color="#9f4e0b">*</font><font color="#a65521">*</font><font color="#854b30">*</font><font color="#966248">+</font><font color="#a77e52">+</font><font color="#947f3e">+</font><font color="#8f7926">*</font><font color="#9e7b2c">+</font><font color="#c1a168">=</font><font color="#bea988">-</font><font color="#988e82">=</font><font color="#777074">+</font><font color="#60667d">+</font><font color="#59698e">+</font><font color="#8d96b6">-</font><font color="#93898c">=</font><font color="#836a5a">+</font><font color="#79564f">*</font><font color="#573129">#</font><font color="#693730">#</font><font color="#963f3f">*</font><font color="#b3474d">+</font><font color="#b05f5f">+</font><font color="#a47352">+</font><font color="#a47e2f">+</font><font color="#564411">#</font><font color="#000000">@@@@@@</font>
